Column1	Column2	
548	UHRF1	
549	ULK4P2	
550	UPAT	
551	Uph	
552	VTRNA2-1	
553	WNT4	
554	WRAP53	
555	WT1-AS	
556	Wt1os	
557	X91348	
558	XIST	
559	XLOC_000620	
560	XLOC_001711	
561	XLOC_004122	
562	XLOC_004562	
563	XLOC_005912	
564	XLOC_010235	
565	XLOC_010967	
566	XLOC_011402	
567	XLOC_014172	
568	XLOC_014388	
569	ZEB2-AS1	
570	ZFAS1	
571	ZFAT-AS1	
572	Zim3	
573	ZMAT1	
574	ZNF300P1	
575	ZNF582-AS1	
576	ZNF674-AS1	
577	ZNRD1-AS1	
